session_id,subject_id,trial_index,travel_time_ms,error_px,sub_movement_count,angle_of_approach_deg,hover_dwell_ms,avg_velocity,avg_acceleration,avg_jerk
session_003,candidate_09,1,1435.8,3.83971,6,-114,250,461,-2635,69271
session_003,candidate_09,2,791.3,10.0941,5,-65,250,942,-944,-122961
session_003,candidate_09,3,876.8,5.11715,9,97,283,630,-426,19565
session_003,candidate_09,4,792.5,8.52446,5,-139,200,836,257,38426
session_003,candidate_09,5,775.2,4.32694,4,-152,213,571,-1251,37538
session_003,candidate_09,6,1008.7,11.1202,10,116,449,605,1622,-12486
session_003,candidate_09,7,741.9,13.268,4,-34,300,501,-965,-9510
session_003,candidate_09,8,775.5,5.68908,3,89,166,593,-1059,-42010
session_003,candidate_09,9,1041,15.3162,5,-4,567,363,-160,-246
session_003,candidate_09,10,959.1,11.9226,4,49,400,1311,-1133,147649
session_003,candidate_09,11,775.2,14.3992,6,170,383,244,-225,-9027
session_003,candidate_09,12,758.8,12.0992,6,-29,200,489,-245,46778
session_003,candidate_09,13,908.8,8.60457,3,-155,482,504,-38,-44152
session_003,candidate_09,14,1325.7,6.80234,5,-137,901,281,-311,-20013
session_003,candidate_09,15,624.9,7.77183,3,-122,183,343,-602,-36633
session_003,candidate_09,16,742.8,10.4464,7,170,199,512,-424,3846
session_003,candidate_09,17,1025.6,10.6184,3,-23,534,472,-387,-73593
session_003,candidate_09,18,941.6,18.153,6,-22,183,882,-207,-1925
session_003,candidate_09,19,676.8,7.43773,8,-33,284,422,-20,33929
session_003,candidate_09,20,1024.9,16.7671,5,172,266,699,-1236,-90173
session_003,candidate_09,21,724.8,4.66613,5,-155,250,561,-89,-69546
session_003,candidate_09,22,975.8,16.1881,9,-132,500,741,138,37462
session_003,candidate_09,23,991.9,7.4759,7,-138,433,566,174,-28947
session_003,candidate_09,24,975.2,12.9113,8,-126,249,532,-150,-23091
session_003,candidate_09,25,1027.2,15.1321,7,-125,283,711,-364,80844
session_009,candidate_01,1,3600.8,2.27591,6,-132,416,601,-9866,267254
session_009,candidate_01,2,1091.8,15.6404,3,-28,483,821,-563,-61778
session_009,candidate_01,3,992.1,17.2703,4,-174,150,976,-1199,-66406
session_009,candidate_01,4,1091.9,13.4476,8,5,332,201,-829,-50595
session_009,candidate_01,5,958.7,5.97582,6,-65,433,572,-2626,154296
session_009,candidate_01,6,808.1,9.50143,4,-134,301,544,-938,-114177
session_009,candidate_01,7,975.2,17.368,3,-115,333,861,-1536,-212871
session_009,candidate_01,8,941.6,15.6956,4,-117,216,509,-2782,-74962
session_009,candidate_01,9,758.7,16.825,1,98,333,384,1256,-297603
session_009,candidate_01,10,958.9,11.53,3,167,266,766,-1929,-110168
session_009,candidate_01,11,725.9,21.2234,1,-53,217,703,-1085,-147867
session_009,candidate_01,12,991.4,17.7384,7,-35,283,709,-597,-17510
session_009,candidate_01,13,891.8,18.5171,3,-71,217,780,-1918,-84877
session_009,candidate_01,14,841.4,20.6575,2,-106,383,993,-78,-88493
session_009,candidate_01,15,1725.5,9.02936,9,180,951,992,-2936,14172
session_009,candidate_01,16,1058.8,10.5361,6,76,250,698,709,-123108
session_009,candidate_01,17,742.5,3.61453,1,-169,317,264,-1153,-111106
session_009,candidate_01,18,1792.1,9.72415,5,-102,434,732,-2666,-120990
session_009,candidate_01,19,1275.1,9.01899,5,-138,367,763,178,-131730
session_009,candidate_01,20,1058.6,14.4759,4,-105,433,332,548,-102073
session_009,candidate_01,21,1008.6,14.9349,5,-122,299,740,-442,-146502
session_009,candidate_01,22,1192,7.32373,4,20,318,595,-768,-94900
session_009,candidate_01,23,1042.4,13.3875,4,-52,500,527,-777,-78656
session_009,candidate_01,24,908.5,17.8262,2,-97,183,563,-35,-61086
session_009,candidate_01,25,1124.5,17.5886,6,12,333,354,79,-43287
session_002,candidate_08,1,2848.1,12.4927,6,-125,316,1075,-2277,30504
session_002,candidate_08,2,1455.2,23.6158,10,178,317,934,-848,-127918
session_002,candidate_08,3,1060.6,21.8612,4,-96,217,457,-1849,54208
session_002,candidate_08,4,1857.5,6.18582,3,-121,917,1026,-764,-159895
session_002,candidate_08,5,1008.7,6.60433,3,166,284,795,1779,-65183
session_002,candidate_08,6,1089.3,5.44648,1,40,400,397,-2245,-62291
session_002,candidate_08,7,1225.5,4.19376,4,-30,483,745,-1189,-146747
session_002,candidate_08,8,1207.8,10.4094,7,-51,233,764,-3397,-130869
session_002,candidate_08,9,1143.2,10.1656,4,-45,433,594,-2765,-77714
session_002,candidate_08,10,1041.6,16.7201,4,-54,367,959,95,-123414
session_002,candidate_08,11,1225.3,16.1308,2,-1,415,1013,-6389,-143018
session_002,candidate_08,12,1190.2,3.31533,4,-91,600,573,-636,-9245
session_002,candidate_08,13,1308.9,18.5543,7,-119,166,685,-1802,-39181
session_002,candidate_08,14,1474.9,13.3338,5,-141,517,1027,-2597,-50284
session_002,candidate_08,15,1043.4,9.37839,4,-180,317,363,-369,15089
session_002,candidate_08,16,1072,7.6115,2,122,416,658,-170,59980
session_002,candidate_08,17,911.2,5.46611,1,-150,117,869,-3314,48416
session_002,candidate_08,18,906.2,8.09421,0,-9,134,518,760,-12412
session_002,candidate_08,19,1008.9,13.1184,1,-31,199,688,-5262,-122549
session_002,candidate_08,20,873.7,9.50254,1,139,167,565,-2371,-104083
session_002,candidate_08,21,827.1,12.0756,0,-147,116,357,-2777,-282139
session_002,candidate_08,22,1289.9,8.86043,5,-163,501,967,-257,-159568
session_002,candidate_08,23,1110.6,5.70444,3,-17,233,1079,-414,20595
session_002,candidate_08,24,1105.7,14.6184,6,-25,350,607,-2099,-18091
session_002,candidate_08,25,1048.6,5.74801,4,80,250,620,1037,-163958
session_001,candidate_03,1,2292.1,13.2695,2,-159,400,313,-3957,-89284
session_001,candidate_03,2,989.9,16.4776,8,-114,351,1074,-1841,-16132
session_001,candidate_03,3,959.6,9.06974,6,-94,267,1585,-1763,-171804
session_001,candidate_03,4,1070.2,3.47508,4,-44,617,1311,-4056,6970
session_001,candidate_03,5,954.4,7.86105,6,-133,333,1214,-447,-26503
session_001,candidate_03,6,880.5,7.03226,6,-54,351,1120,-2404,-30362
session_001,candidate_03,7,793.4,14.6423,3,68,316,1150,-3767,-98160
session_001,candidate_03,8,767.8,6.75643,4,176,267,539,140,-11065
session_001,candidate_03,9,751,7.76001,5,130,234,592,-2011,-30449
session_001,candidate_03,10,690.3,20.9874,5,24,333,807,-742,-7807
session_001,candidate_03,11,918.4,3.56733,6,-78,433,515,655,-33380
session_001,candidate_03,12,830.3,8.02152,4,-3,134,508,-377,-44466
session_001,candidate_03,13,1001.8,22.3245,6,-177,300,1016,-1203,-22357
session_001,candidate_03,14,777.4,11.8217,2,-12,166,924,-3017,-153383
session_001,candidate_03,15,920.1,19.0415,4,117,384,1407,-910,-26741
session_001,candidate_03,16,708,4.41882,4,-81,234,950,-389,-30124
session_001,candidate_03,17,732.1,36.0898,3,38,201,976,-2626,-169194
session_001,candidate_03,18,982.9,2.21055,5,-132,282,1375,-4642,-62451
session_001,candidate_03,19,760.1,15.5631,7,84,384,779,-2983,-35852
session_001,candidate_03,20,685,14.025,2,29,383,987,757,-1414
session_001,candidate_03,21,877.6,6.16284,5,-3,184,649,-1689,-87035
session_001,candidate_03,22,1016.3,18.1285,5,162,151,538,-1458,-147333
session_001,candidate_03,23,818.2,15.9873,5,102,284,959,-1391,-4125
session_001,candidate_03,24,716.3,13.4903,7,71,516,254,-126,-3302
