session_id,subject_id,trial_index,duration_ms,success,sub_movement_count,angle_of_approach_deg,hover_dwell_ms,avg_velocity,avg_acceleration,avg_jerk
session_003,candidate_09,1,616.6,True,6,-57,184,1349,-586,-93086
session_003,candidate_09,2,765.2,True,3,-49,267,915,-2991,180534
session_003,candidate_09,3,735.3,True,2,-54,279,1246,43,-90610
session_003,candidate_09,4,766.1,True,4,134,283,1075,-1786,-23139
session_003,candidate_09,5,716.9,True,4,18,283,987,1426,-134954
session_003,candidate_09,6,688.5,True,5,-106,267,1153,537,-6427
session_003,candidate_09,7,698.5,True,1,-33,284,1137,-1773,-22288
session_003,candidate_09,8,666.5,True,2,-53,183,1092,1127,-43842
session_003,candidate_09,9,716.2,True,3,42,349,1050,4,-61269
session_003,candidate_09,10,651.5,True,4,-147,281,1218,-1610,-60298
session_009,candidate_01,1,1599.1,True,11,178,935,600,132,-10901
session_009,candidate_01,2,1449.7,True,8,-144,933,595,-780,-54683
session_009,candidate_01,3,1416.1,True,5,-110,826,800,-763,-16583
session_009,candidate_01,4,1170.5,True,3,-143,733,833,-58,-34028
session_009,candidate_01,5,1299.5,True,4,-81,716,793,209,-14219
session_009,candidate_01,6,1316.4,True,4,160,1009,679,-17,-105722
session_009,candidate_01,7,1550.5,True,7,-87,1033,736,-527,-44345
session_009,candidate_01,8,1399.7,True,5,-101,967,804,15,-27725
session_009,candidate_01,9,1133,True,4,-61,767,830,2270,-43391
session_009,candidate_01,10,1266.5,True,4,-2,649,708,331,-60925
session_002,candidate_08,1,1432.4,True,5,-162,700,666,18,-29279
session_002,candidate_08,2,1182.7,True,6,23,400,780,-609,-39380
session_002,candidate_08,3,1463.3,True,5,169,850,784,-277,-33099
session_002,candidate_08,4,1072.9,True,2,97,418,1027,-417,-42560
session_002,candidate_08,5,1381.4,True,6,-5,513,684,-39,-836
session_002,candidate_08,6,1367,True,9,-30,400,685,-1206,34080
session_002,candidate_08,7,914.4,True,3,-176,384,1169,-435,-36731
session_002,candidate_08,8,1166.1,True,5,-91,583,886,-42,-30832
session_002,candidate_08,9,1715.3,True,4,-145,900,725,256,-7624
session_002,candidate_08,10,1512.5,True,7,73,517,641,-2634,166929
session_001,candidate_03,1,1629,True,14,179,983,677,-875,-20973
session_001,candidate_03,2,1243.1,True,10,-180,751,895,-430,2124
session_001,candidate_03,3,923.5,True,8,126,415,1010,-476,29967
session_001,candidate_03,4,1218,True,11,2,668,684,-148,-4626
session_001,candidate_03,5,875.5,True,5,-29,318,1133,-205,-22678
session_001,candidate_03,6,974.9,True,7,12,317,1075,-957,17762
session_001,candidate_03,7,1147.2,True,12,-86,568,765,-50,-7530
session_001,candidate_03,8,1120,True,7,-9,532,753,-408,-967
session_001,candidate_03,9,1076,True,10,148,566,962,-725,-63781
session_001,candidate_03,10,1131.7,True,9,-159,617,1084,-551,-26442
session_010,candidate_06,1,946,True,5,13,284,955,-1575,-5374
session_010,candidate_06,2,1071.5,True,11,-139,701,931,-673,3957
session_010,candidate_06,3,1211.1,True,8,7,699,718,-520,-10621
session_010,candidate_06,4,845.1,True,5,-10,334,1175,-1683,-39329
session_010,candidate_06,5,916.5,True,8,-16,384,903,140,-4753
session_010,candidate_06,6,1056.3,True,6,-166,584,1080,-323,-34377
session_010,candidate_06,7,1090.2,True,8,50,684,834,-193,-15818
session_010,candidate_06,8,916.2,True,7,-141,450,1059,431,-96093
session_010,candidate_06,9,879.9,True,7,-88,484,1406,145,-63726
session_010,candidate_06,10,1092,True,7,164,516,906,-469,-58618
session_004,candidate_05,1,1404.9,True,18,160,617,865,-1324,-40608
session_004,candidate_05,2,1245.9,True,13,155,871,891,-3378,12802
session_004,candidate_05,3,1226.3,True,14,-169,832,923,-1453,-115551
session_004,candidate_05,4,861.4,True,11,-11,366,1072,-4118,73022
session_004,candidate_05,5,1047.7,True,9,-74,433,1038,-3258,-159341
session_004,candidate_05,6,1152.9,True,7,-47,651,932,-3604,-168593
session_004,candidate_05,7,1046.2,True,9,-168,698,1126,-3021,-3632
session_004,candidate_05,8,1218.9,True,10,-26,839,1049,-7981,127445
session_004,candidate_05,9,1406,True,17,-153,852,751,-1552,-39949
session_004,candidate_05,10,1505,True,17,42,1066,630,-2855,-54836
session_006,candidate_09,1,732.5,True,1,-29,300,1170,-1038,-64856
session_006,candidate_09,2,750.6,True,6,20,250,1013,-434,-40515
session_006,candidate_09,3,747.9,True,3,-15,234,1009,-179,7609
session_006,candidate_09,4,615.9,True,1,-43,166,1333,102,-106626
session_006,candidate_09,5,667.2,True,3,-40,183,1165,1854,-69199
session_006,candidate_09,6,666.6,True,5,-21,148,1155,590,-53568
session_006,candidate_09,7,650.2,False,4,0,166,989,117,14123
session_006,candidate_09,8,634.5,False,2,-173,300,1279,347,-55975
session_006,candidate_09,9,716.5,True,2,-56,266,1148,-777,-65941
