session_id,subject_id,time_ms,dx,dy
session_003,candidate_09,0,16.6445,43.3008
session_003,candidate_09,16.5,12.2812,39.332
session_003,candidate_09,34.2,13.9922,54.7734
session_003,candidate_09,50,8.22656,44.8906
session_003,candidate_09,66.4,7.60547,36.8906
session_003,candidate_09,83.2,10.2266,46.5
session_003,candidate_09,99.8,8.12109,27.4922
session_003,candidate_09,117.5,8.91016,27.5039
session_003,candidate_09,132.8,5.84375,13.2656
session_003,candidate_09,150.4,5.48828,11.5469
session_003,candidate_09,166.5,3.50781,5.71484
session_003,candidate_09,183.3,2.72266,3.83203
session_003,candidate_09,199.9,0.882812,1.19531
session_003,candidate_09,216.6,0.515625,0.515625
session_003,candidate_09,234.2,0.253906,0
session_003,candidate_09,265.7,0,-0.238281
session_003,candidate_09,283,0,-0.523438
session_003,candidate_09,299.9,0,-0.523438
session_003,candidate_09,323,0,-0.242188
session_003,candidate_09,349.8,-0.261719,-0.246094
session_003,candidate_09,366.6,-0.261719,-0.261719
session_003,candidate_09,384.2,-0.261719,-0.507812
session_003,candidate_09,416.5,-0.785156,-1.04688
session_003,candidate_09,433.2,-0.261719,-0.523438
session_003,candidate_09,449.9,-0.550781,-0.835938
session_003,candidate_09,466.5,-0.523438,-0.523438
session_003,candidate_09,483.2,-0.863281,-0.863281
session_003,candidate_09,500.2,-0.550781,-0.835938
session_003,candidate_09,516.8,-0.835938,-0.550781
session_003,candidate_09,533.5,-0.832031,-0.546875
session_003,candidate_09,549.9,-0.523438,-0.523438
session_003,candidate_09,582.7,-0.125,-0.125
session_003,candidate_09,916.9,0,-0.464844
session_003,candidate_09,933.5,0,-3.20703
session_003,candidate_09,950.2,0,-6.60156
session_003,candidate_09,966.9,0,-10.9883
session_003,candidate_09,983.2,0,-21.6641
session_003,candidate_09,1000,0.675781,-20.5508
session_003,candidate_09,1016.5,7.29688,-26.2969
session_003,candidate_09,1033.2,10.082,-29.4492
session_003,candidate_09,1049.9,11.668,-24.8086
session_003,candidate_09,1066.8,14.8359,-24.5039
session_003,candidate_09,1082.6,11.8359,-16.8047
session_003,candidate_09,1099.9,23.8398,-25.3125
session_003,candidate_09,1116.7,13.6484,-11.793
session_003,candidate_09,1133.3,11.8008,-10.0195
session_003,candidate_09,1150.1,10.1562,-9.03125
session_003,candidate_09,1166.7,8.78906,-9.35938
session_003,candidate_09,1183.5,9.58984,-9.59766
session_003,candidate_09,1199.9,9.02344,-10.1641
session_003,candidate_09,1216.6,7.98828,-9.0625
session_003,candidate_09,1233.2,7.0625,-8.08203
session_003,candidate_09,1249.9,6.60938,-8.14062
session_003,candidate_09,1266.6,6.41406,-7.4375
session_003,candidate_09,1283.2,5.03125,-5.55078
session_003,candidate_09,1299.9,4.24219,-4.67578
session_003,candidate_09,1316.6,2.49219,-2.5
session_003,candidate_09,1333.2,0.855469,-0.863281
session_003,candidate_09,1351,0.515625,0
session_003,candidate_09,1399.2,0,-0.238281
session_003,candidate_09,1416.1,0,-0.242188
session_003,candidate_09,1433.6,0,-0.246094
session_003,candidate_09,1449.9,0,-0.246094
session_003,candidate_09,1466.8,0,-0.246094
session_003,candidate_09,1483.2,-0.246094,-0.246094
session_003,candidate_09,1500,0,-0.246094
session_003,candidate_09,1517.5,-0.261719,-0.523438
session_003,candidate_09,1549.9,-2.14844,-3.96875
session_003,candidate_09,1566.6,-1.3125,-2.30859
session_003,candidate_09,1584.2,-1.3125,-2.30859
session_003,candidate_09,1616.5,-2.51562,-3.76562
session_003,candidate_09,1633.8,-0.863281,-1.14844
session_003,candidate_09,1666.5,-0.125,-0.125
session_003,candidate_09,1867,0,1.82422
session_003,candidate_09,1883.6,-1.27734,6.69922
session_003,candidate_09,1900.3,-4.75,10.5312
session_003,candidate_09,1916.9,-5.23438,10.3984
session_003,candidate_09,1933.6,-3.59766,6.21875
session_003,candidate_09,1950.3,-5.03125,8.52344
session_003,candidate_09,1966.9,-3.39453,5.08203
session_003,candidate_09,1982.7,-4.69922,6.53125
session_003,candidate_09,2000.3,-5.55859,7.4375
session_003,candidate_09,2016.8,-3.31641,4.92578
session_003,candidate_09,2033.4,-2.83984,1.78125
