session_id,subject_id,key_dwell_ms_mean,key_dwell_ms_std,key_dwell_ms_p10,key_dwell_ms_p50,key_dwell_ms_p90,key_dwell_ms_iqr,key_iki_ms_mean,key_iki_ms_std,key_iki_ms_p10,key_iki_ms_p50,key_iki_ms_p90,key_iki_ms_iqr,key_flight_ms_mean,key_flight_ms_std,key_flight_ms_p10,key_flight_ms_p50,key_flight_ms_p90,key_flight_ms_iqr,key_backspace_rate,key_shift_rate,key_space_rate,key_special_rate,typing_wpm,mouse_speed_mean,mouse_speed_std,mouse_speed_p10,mouse_speed_p50,mouse_speed_p90,mouse_speed_iqr,mouse_acceleration_mean,mouse_acceleration_std,mouse_acceleration_p10,mouse_acceleration_p50,mouse_acceleration_p90,mouse_acceleration_iqr,mouse_turn_mean,mouse_turn_std,mouse_turn_p10,mouse_turn_p50,mouse_turn_p90,mouse_turn_iqr,mouse_pause_ratio,dot_travel_time_ms_mean,dot_travel_time_ms_std,dot_travel_time_ms_p10,dot_travel_time_ms_p50,dot_travel_time_ms_p90,dot_travel_time_ms_iqr,dot_error_px_mean,dot_error_px_std,dot_error_px_p10,dot_error_px_p50,dot_error_px_p90,dot_error_px_iqr,dot_sub_movement_count_mean,dot_sub_movement_count_std,dot_sub_movement_count_p10,dot_sub_movement_count_p50,dot_sub_movement_count_p90,dot_sub_movement_count_iqr,dot_hover_dwell_ms_mean,dot_hover_dwell_ms_std,dot_hover_dwell_ms_p10,dot_hover_dwell_ms_p50,dot_hover_dwell_ms_p90,dot_hover_dwell_ms_iqr,dot_avg_velocity_mean,dot_avg_velocity_std,dot_avg_velocity_p10,dot_avg_velocity_p50,dot_avg_velocity_p90,dot_avg_velocity_iqr,dot_avg_acceleration_mean,dot_avg_acceleration_std,dot_avg_acceleration_p10,dot_avg_acceleration_p50,dot_avg_acceleration_p90,dot_avg_acceleration_iqr,dot_avg_jerk_mean,dot_avg_jerk_std,dot_avg_jerk_p10,dot_avg_jerk_p50,dot_avg_jerk_p90,dot_avg_jerk_iqr,drag_duration_ms_mean,drag_duration_ms_std,drag_duration_ms_p10,drag_duration_ms_p50,drag_duration_ms_p90,drag_duration_ms_iqr,drag_sub_movement_count_mean,drag_sub_movement_count_std,drag_sub_movement_count_p10,drag_sub_movement_count_p50,drag_sub_movement_count_p90,drag_sub_movement_count_iqr,drag_hover_dwell_ms_mean,drag_hover_dwell_ms_std,drag_hover_dwell_ms_p10,drag_hover_dwell_ms_p50,drag_hover_dwell_ms_p90,drag_hover_dwell_ms_iqr,drag_avg_velocity_mean,drag_avg_velocity_std,drag_avg_velocity_p10,drag_avg_velocity_p50,drag_avg_velocity_p90,drag_avg_velocity_iqr,drag_avg_acceleration_mean,drag_avg_acceleration_std,drag_avg_acceleration_p10,drag_avg_acceleration_p50,drag_avg_acceleration_p90,drag_avg_acceleration_iqr,drag_avg_jerk_mean,drag_avg_jerk_std,drag_avg_jerk_p10,drag_avg_jerk_p50,drag_avg_jerk_p90,drag_avg_jerk_iqr,drag_success_rate,track_sinusoidal_mean_error_px_mean,track_sinusoidal_mean_error_px_std,track_sinusoidal_mean_error_px_p10,track_sinusoidal_mean_error_px_p50,track_sinusoidal_mean_error_px_p90,track_sinusoidal_mean_error_px_iqr,track_sinusoidal_rms_error_px_mean,track_sinusoidal_rms_error_px_std,track_sinusoidal_rms_error_px_p10,track_sinusoidal_rms_error_px_p50,track_sinusoidal_rms_error_px_p90,track_sinusoidal_rms_error_px_iqr,track_sinusoidal_lag_ms_mean,track_sinusoidal_lag_ms_std,track_sinusoidal_lag_ms_p10,track_sinusoidal_lag_ms_p50,track_sinusoidal_lag_ms_p90,track_sinusoidal_lag_ms_iqr,track_sinusoidal_prediction_ratio_mean,track_sinusoidal_prediction_ratio_std,track_sinusoidal_prediction_ratio_p10,track_sinusoidal_prediction_ratio_p50,track_sinusoidal_prediction_ratio_p90,track_sinusoidal_prediction_ratio_iqr,track_sinusoidal_tremor_px_mean,track_sinusoidal_tremor_px_std,track_sinusoidal_tremor_px_p10,track_sinusoidal_tremor_px_p50,track_sinusoidal_tremor_px_p90,track_sinusoidal_tremor_px_iqr,track_sinusoidal_correlation_x_mean,track_sinusoidal_correlation_x_std,track_sinusoidal_correlation_x_p10,track_sinusoidal_correlation_x_p50,track_sinusoidal_correlation_x_p90,track_sinusoidal_correlation_x_iqr,track_sinusoidal_correlation_y_mean,track_sinusoidal_correlation_y_std,track_sinusoidal_correlation_y_p10,track_sinusoidal_correlation_y_p50,track_sinusoidal_correlation_y_p90,track_sinusoidal_correlation_y_iqr,track_sinusoidal_fatigue_delta_px_mean,track_sinusoidal_fatigue_delta_px_std,track_sinusoidal_fatigue_delta_px_p10,track_sinusoidal_fatigue_delta_px_p50,track_sinusoidal_fatigue_delta_px_p90,track_sinusoidal_fatigue_delta_px_iqr,track_sinusoidal_sample_error_px_mean,track_sinusoidal_sample_error_px_std,track_sinusoidal_sample_error_px_p10,track_sinusoidal_sample_error_px_p50,track_sinusoidal_sample_error_px_p90,track_sinusoidal_sample_error_px_iqr,track_random_walk_mean_error_px_mean,track_random_walk_mean_error_px_std,track_random_walk_mean_error_px_p10,track_random_walk_mean_error_px_p50,track_random_walk_mean_error_px_p90,track_random_walk_mean_error_px_iqr,track_random_walk_rms_error_px_mean,track_random_walk_rms_error_px_std,track_random_walk_rms_error_px_p10,track_random_walk_rms_error_px_p50,track_random_walk_rms_error_px_p90,track_random_walk_rms_error_px_iqr,track_random_walk_lag_ms_mean,track_random_walk_lag_ms_std,track_random_walk_lag_ms_p10,track_random_walk_lag_ms_p50,track_random_walk_lag_ms_p90,track_random_walk_lag_ms_iqr,track_random_walk_prediction_ratio_mean,track_random_walk_prediction_ratio_std,track_random_walk_prediction_ratio_p10,track_random_walk_prediction_ratio_p50,track_random_walk_prediction_ratio_p90,track_random_walk_prediction_ratio_iqr,track_random_walk_tremor_px_mean,track_random_walk_tremor_px_std,track_random_walk_tremor_px_p10,track_random_walk_tremor_px_p50,track_random_walk_tremor_px_p90,track_random_walk_tremor_px_iqr,track_random_walk_correlation_x_mean,track_random_walk_correlation_x_std,track_random_walk_correlation_x_p10,track_random_walk_correlation_x_p50,track_random_walk_correlation_x_p90,track_random_walk_correlation_x_iqr,track_random_walk_correlation_y_mean,track_random_walk_correlation_y_std,track_random_walk_correlation_y_p10,track_random_walk_correlation_y_p50,track_random_walk_correlation_y_p90,track_random_walk_correlation_y_iqr,track_random_walk_fatigue_delta_px_mean,track_random_walk_fatigue_delta_px_std,track_random_walk_fatigue_delta_px_p10,track_random_walk_fatigue_delta_px_p50,track_random_walk_fatigue_delta_px_p90,track_random_walk_fatigue_delta_px_iqr,track_random_walk_sample_error_px_mean,track_random_walk_sample_error_px_std,track_random_walk_sample_error_px_p10,track_random_walk_sample_error_px_p50,track_random_walk_sample_error_px_p90,track_random_walk_sample_error_px_iqr
session_003,candidate_09,107.729,30.4056,71.06,105.1,147.22,37.6,195.025,582.002,83.4,134.4,284.7,80.2,62.898,143.583,-35.52,24.4,182.84,91.1,0.0444234,0,0.176749,0,47.7924,491.138,717.615,15.6157,248.851,1143.78,568.384,42.1576,16613.8,-8339.89,-58.2294,7769.74,4409.84,0.16093,0.39744,0,0.0350311,0.445974,0.112993,0.136379,907.912,186.283,731.64,908.8,1035.48,233.5,10.3477,4.11753,4.84654,10.4464,15.8393,5.83024,5.72,1.97018,3,5,8.6,3,336.32,164.847,189.4,283,520.4,220,590.88,224.849,351,561,863.6,227,-427.2,741.922,-1194.8,-311,159.6,855,-2760.2,57142.8,-71974.2,-9027,60273.8,74095,702.13,45.7532,648.01,707.35,765.29,58.7,3.4,1.42829,1.9,3.5,5.1,1.75,266,46.6905,183.9,280,290.5,16,1122.2,121.109,979.8,1114.5,1256.3,145.5,-560.9,1366.11,-1906.5,-291,1156.9,2145.75,-35537.9,80892.6,-97272.8,-52070,12269.1,60774,1,55,0,55,55,55,0,71,0,71,71,71,0,-93,0,-93,-93,-93,0,0.196,0,0.196,0.196,0.196,0,5.415,0,5.415,5.415,5.415,0,0.958,0,0.958,0.958,0.958,0,0,0,0,0,0,0,-9,0,-9,-9,-9,0,54.7291,45.4091,15.414,47.6148,91.3431,39.3686,17,0,17,17,17,0,20,0,20,20,20,0,-410,0,-410,-410,-410,0,0.281,0,0.281,0.281,0.281,0,1.564,0,1.564,1.564,1.564,0,0.965,0,0.965,0.965,0.965,0,0.91,0,0.91,0.91,0.91,0,0,0,0,0,0,0,17.369,10.3994,6.4904,15.4011,29.0574,11.7838
session_009,candidate_01,77.8903,19.401,56.84,76,99.6,21.5,224.708,400.249,87.44,158.5,409,116.5,139.336,385.757,-2.52,84.6,325.6,116.1,0.0862069,0,0.162069,0.00114943,40.0059,536.429,947.607,15.5196,208.177,1346.13,518.052,224.989,25632.4,-11240.4,-156.994,10781.7,4601.23,0.167074,0.373015,0,0.0459719,0.430245,0.139272,0.159386,1142.28,560.529,778.46,992.1,1545.34,183.4,13.2451,5.06725,6.51498,14.4759,18.2407,7.86654,4.24,2.06456,1.4,4,6.6,3,349.92,152.188,216.4,332,463.4,150,639.2,214.82,340.8,698,930,239,-1278.12,2065.14,-2735.6,-829,400,1840,-76200.9,104901,-147321,-88493,1499.2,59904,1360.1,144.212,1166.75,1358.05,1555.36,166.55,5.5,2.33452,3.9,4.5,8.3,2.5,856.8,128.694,709.3,879.5,1011.4,217.5,737.8,85.2007,599.5,764.5,830.3,116.75,81.2,820.354,-764.7,-1,524.9,599.5,-41252.2,26895.4,-65404.7,-38709.5,-13887.2,32730,1,85,0,85,85,85,0,123,0,123,123,123,0,20,0,20,20,20,0,0.509,0,0.509,0.509,0.509,0,11.944,0,11.944,11.944,11.944,0,0.884,0,0.884,0.884,0.884,0,0,0,0,0,0,0,15,0,15,15,15,0,84.561,88.8863,16.9401,57.0047,177.89,67.2863,16,0,16,16,16,0,19,0,19,19,19,0,-309,0,-309,-309,-309,0,0.268,0,0.268,0.268,0.268,0,1.739,0,1.739,1.739,1.739,0,0.958,0,0.958,0.958,0.958,0,0.888,0,0.888,0.888,0.888,0,0,0,0,0,0,0,16.422,9.50639,5.87887,14.4069,30.4466,11.9135
session_002,candidate_08,82.0644,19.8528,63.78,79.4,106.74,20.45,312.707,1275.96,112.12,188.55,516.28,119.675,219.402,1268.5,16.06,109.8,408.62,121.15,0.0248902,0,0.165447,0.00146413,30.9472,446.033,651.048,16.0435,194.523,1217.12,505.687,40.0931,15673.7,-8174.73,-90.389,8132.89,3839.97,0.155681,0.35783,0,0.0369473,0.446654,0.121372,0.143381,1213.36,396.749,908.2,1105.7,1467.02,183.9,10.7683,5.34301,5.45433,9.50254,17.8206,7.14799,3.64,2.3644,1,4,6.6,3,338.6,176.18,146.8,317,510.6,199,733.4,226.482,421,688,1026.6,386,-1604.8,1833.2,-3363.8,-1802,494,2228,-70790.7,84392.5,-159764,-65183,41251.2,121624,1320.8,223.733,1057.05,1374.2,1532.78,285.325,5.2,1.8868,2.9,5,7.2,1.75,566.5,180.501,398.4,515,855,266.25,804.7,164.64,663.5,752.5,1041.2,176.25,-538.5,798.276,-1348.8,-347,41.8,525.75,-1933.2,60549.9,-39698,-30055.5,47364.9,33290,1,71,0,71,71,71,0,113,0,113,113,113,0,-59,0,-59,-59,-59,0,0.29,0,0.29,0.29,0.29,0,6.99,0,6.99,6.99,6.99,0,0.885,0,0.885,0.885,0.885,0,0,0,0,0,0,0,-65,0,-65,-65,-65,0,71.1973,87.752,9.32027,41.2828,176.889,58.1845,15,0,15,15,15,0,18,0,18,18,18,0,-348,0,-348,-348,-348,0,0.2,0,0.2,0.2,0.2,0,1.289,0,1.289,1.289,1.289,0,0.909,0,0.909,0.909,0.909,0,0.887,0,0.887,0.887,0.887,0,0,0,0,0,0,0,14.5948,9.68814,5.35786,12.834,23.7159,10.4972
session_001,candidate_03,,,,,,,,,,,,,,,,,,,,,,,,564.344,743.855,39.3324,272.691,1547.79,631.616,744.298,26725.9,-14506.5,-141.09,16393.7,9950.46,0.250749,0.488077,0,0.0732788,0.785375,0.268959,0.072024,901.424,307.678,697.38,830.3,1010.5,208.6,12.3714,7.37195,3.90793,11.8217,20.2091,8.95504,4.6,1.72047,2,5,6.6,2,305.56,115.359,157,300,419.8,149,881.92,349.131,506.8,950,1349.4,581,-1760,1509.7,-3881,-1689,33.6,2536,-54835.3,53852.8,-150963,-30449,-3631.2,70903,1133.89,201.039,918.7,1125.85,1281.69,200.125,9.3,2.5318,6.8,9.5,12.2,3.5,573.5,191.839,317.9,567,774.2,211,903.8,164.564,683.3,928.5,1088.9,302.75,-482.5,287.577,-883.2,-453,-138.2,425.75,-9714.4,24646.9,-30175.9,-6078,18982.5,23603,1,52,0,52,52,52,0,69,0,69,69,69,0,-67,0,-67,-67,-67,0,0.319,0,0.319,0.319,0.319,0,11.043,0,11.043,11.043,11.043,0,0.96,0,0.96,0.96,0.96,0,0,0,0,0,0,0,-14,0,-14,-14,-14,0,51.5675,46.4486,12.0739,42.5221,95.0114,44.5724,16,0,16,16,16,0,19,0,19,19,19,0,-217,0,-217,-217,-217,0,0.266,0,0.266,0.266,0.266,0,3.128,0,3.128,3.128,3.128,0,0.958,0,0.958,0.958,0.958,0,0.957,0,0.957,0.957,0.957,0,-2,0,-2,-2,-2,0,16.1914,10.681,4.53859,14.3964,27.5295,11.2164
session_010,candidate_06,89.2288,21.8228,68.96,84.3,117.82,19.4,212.488,205.869,102.34,163.2,370.91,82.775,109,146.65,7.52,77.8,250.56,85.375,0.078329,0,0.174935,0,42.1335,718.683,1453.42,39.4488,319.36,1868.75,752.765,2490.34,96784.6,-18933.3,-160.854,20567.2,11053.8,0.263172,0.512956,0,0.07112,0.785375,0.269377,0.0723575,1230.2,1525.62,704.78,874.5,1424.08,211.3,12.9826,7.11467,6.1947,10.5308,22.8968,10.5089,6.84,4.92893,3.4,6,10.8,4,326.84,313.902,167,251,417.6,101,888.96,415.408,559,741,1445.2,523,-2277.68,1869.4,-4320.2,-1549,-581.2,2289,-35972.1,65941.9,-131288,-30139,38652.4,61245,1002.48,111.675,876.42,1001.15,1103.91,169.25,7.2,1.66132,5,7,8.3,1.75,512,144.967,329,500,699.2,258.5,996.7,183.669,822.4,943,1198.1,171,-472,663.063,-1585.8,-396,173.6,691.5,-32475.2,30566.7,-66962.7,-25097.5,-3882,47110,1,63,0,63,63,63,0,100,0,100,100,100,0,-17,0,-17,-17,-17,0,0.422,0,0.422,0.422,0.422,0,20.083,0,20.083,20.083,20.083,0,0.923,0,0.923,0.923,0.923,0,0,0,0,0,0,0,-58,0,-58,-58,-58,0,62.5833,77.631,9.63574,36.3462,148.612,49.7284,13,0,13,13,13,0,15,0,15,15,15,0,-301,0,-301,-301,-301,0,0.253,0,0.253,0.253,0.253,0,1.697,0,1.697,1.697,1.697,0,0.955,0,0.955,0.955,0.955,0,0.98,0,0.98,0.98,0.98,0,-2,0,-2,-2,-2,0,12.7325,8.20133,4.31631,11.1844,21.8801,8.56708
session_004,candidate_05,121.272,43.5574,74.7,116.3,174.75,54.55,232.81,926.855,98.08,169.5,334.6,94.75,78.227,129.177,-46,57,223.2,128.85,0.0844444,0,0.161111,0,38.8158,516.861,803.822,29.5858,277.697,1134.98,559.305,666.571,29151.6,-20495.3,-72.0467,19210.1,12960.7,0.235333,0.462656,0,0.060532,0.785398,0.218669,0.11137,1172.16,126.436,1050.44,1141.2,1298.18,124.2,9.85056,4.72509,4.70119,7.7818,16.4079,6.93242,7.04,2.35763,4.4,7,10,4,344.84,126.369,200,332,466.6,184,719.12,274.46,387.6,730,1041.6,441,-3351.96,2119.39,-5445.8,-2816,-1370,2815,5432.84,82218.9,-104900,15526,91153.4,145460,1211.52,185.2,1027.72,1222.6,1415.9,291.15,12.5,3.69459,8.8,12,17.1,7,722.5,202.515,426.3,765,890.5,223.25,927.7,145.668,738.9,927.5,1077.4,174.75,-3254.4,1825.04,-4504.3,-3139.5,-1440.1,1669.75,-36924.1,90296.6,-160266,-40278.5,78464.3,109066,1,41,0,41,41,41,0,59,0,59,59,59,0,-17,0,-17,-17,-17,0,0.412,0,0.412,0.412,0.412,0,4.925,0,4.925,4.925,4.925,0,0.973,0,0.973,0.973,0.973,0,0,0,0,0,0,0,-20,0,-20,-20,-20,0,40.5746,42.3592,11.9421,31.0884,70.3033,28.6246,17,0,17,17,17,0,19,0,19,19,19,0,-367,0,-367,-367,-367,0,0.247,0,0.247,0.247,0.247,0,1.554,0,1.554,1.554,1.554,0,0.938,0,0.938,0.938,0.938,0,0.94,0,0.94,0.94,0.94,0,-3,0,-3,-3,-3,0,16.6774,9.0532,6.90113,15.5654,28.7292,9.62188
session_006,candidate_09,101.565,25.7899,72,99.9,133,30.5,181.56,222.06,81.8,132.6,277.2,81.85,71.1517,194.245,-25.2,27.8,177.7,84,0.0242537,0,0.183769,0,52.1468,451.261,686.393,31.0617,219.639,950.644,504.171,157.079,16105.8,-8336.12,-56.0328,7338.51,4205.42,0.146679,0.339234,0,0.0394472,0.343846,0.133416,0.0790263,943.092,209.622,741.44,939.7,1111.7,166.6,9.67503,6.29587,1.5945,8.47973,18.8363,11.1071,6.16,2.22135,4,6,9.2,2,311.28,109.217,206.8,267,480,83,736.64,176.26,486,750,885,193,-848.96,1300.92,-1684.6,-430,-2.2,1128,-31016,52202.8,-84330.4,-8061,6978.8,53775,688.06,45.6002,632.64,682.95,748.17,74.2,3,1.54919,1,3,5.1,1.75,238,68.3857,164.2,242,306.7,121.25,1122.1,119.863,986.1,1151.5,1284.4,158.75,119,778.431,-803.1,109.5,732.6,899.5,-55050.9,39575.2,-107520,-60415.5,8260.4,24606.2,0.8,52,0,52,52,52,0,65,0,65,65,65,0,-100,0,-100,-100,-100,0,0.17,0,0.17,0.17,0.17,0,4.484,0,4.484,4.484,4.484,0,0.965,0,0.965,0.965,0.965,0,0,0,0,0,0,0,-12,0,-12,-12,-12,0,52.1915,39.2401,16.9352,44.2527,88.2225,38.9873,19,0,19,19,19,0,21,0,21,21,21,0,-338,0,-338,-338,-338,0,0.17,0,0.17,0.17,0.17,0,1.345,0,1.345,1.345,1.345,0,0.986,0,0.986,0.986,0.986,0,0.988,0,0.988,0.988,0.988,0,1,0,1,1,1,0,18.5628,10.6561,6.74954,17.1089,30.7004,12.6161
session_005,candidate_04,107.002,30.3371,75.6,103.4,149.24,37.2,314.517,531.255,141.46,227.4,530.16,132.4,192.312,511.803,22.81,122.55,424.23,150.525,0.0352,0,0.1824,0,29.8382,842.144,1157.27,43.7255,420.168,2223.63,916.702,2446.88,82031.4,-67429.7,-350.564,74565.2,14338.1,0.196712,0.434869,0,0.0701549,0.433674,0.162987,0.0826942,1528.31,275.476,1279.8,1481.8,1782.26,193.3,10.7236,5.14946,4.97909,11.4002,16.8159,8.85356,4.16,1.56665,2,4,6,2,337.04,188.734,159.8,312,647.2,157,785.32,352.491,409.6,712,1235,376,-4302.68,4160.52,-8876.6,-3010,-1752.6,1704,-14096.7,86556.3,-67955,-2478,59813,44852,954.45,104.337,819.56,975.05,1037.78,154.35,5.1,2.11896,2.9,4.5,8.1,2.5,471.5,95.5806,363.9,443,582.3,165.25,1008.3,180.029,773.1,991.5,1204.8,282.75,-2062.9,1121.47,-3084.9,-2164.5,-664.5,1729,-99561.9,86162.2,-224828,-61982,-27407.5,97274.5,1,105,0,105,105,105,0,146,0,146,146,146,0,0,0,0,0,0,0,0.489,0,0.489,0.489,0.489,0,9.676,0,9.676,9.676,9.676,0,0.807,0,0.807,0.807,0.807,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,104.913,100.853,19.4681,71.4039,262.951,85.4619,25,0,25,25,25,0,29,0,29,29,29,0,-534,0,-534,-534,-534,0,0.354,0,0.354,0.354,0.354,0,1.445,0,1.445,1.445,1.445,0,0.895,0,0.895,0.895,0.895,0,0.83,0,0.83,0.83,0.83,0,1,0,1,1,1,0,25.3403,14.8046,8.9923,22.3182,46.8916,20.86
session_007,candidate_02,62.9402,11.1907,47.71,63.15,76.5,12.95,522.789,3360.48,175.2,272.9,680.71,218.95,454.823,3361.98,113,210,621.7,209.9,0.0414079,0,0.173913,0,18.0487,551.789,981.277,38.9858,204.5,1347.55,540.779,1062.66,52651.8,-23307.8,-222.465,23103.7,9401.49,0.2004,0.438648,0,0.0503228,0.519162,0.183108,0.0723575,977.744,395.357,732.14,900.8,1060.12,151,8.53351,4.88183,3.43234,8.2913,15.2282,7.33902,5.84,2.58735,3,6,10,3,395.64,98.504,289.4,400,484.2,121,561.4,223.9,290.6,552,855,277,-3489.6,2740.42,-6938.6,-3301,-411.2,3650,-38810.7,147351,-206678,-51509,106380,168307,1208.24,246.301,1026.3,1169.6,1459,199.6,9.4,3.07246,4.8,11,12,4,416.9,173.846,285.3,398.5,605,170.75,940.3,301.605,737.8,882,1157.2,118.25,-2631.9,1345.14,-4173.2,-2648,-1673.8,1353.75,-268562,206421,-446592,-202546,-90115.5,221304,0.9,60,0,60,60,60,0,79,0,79,79,79,0,-70,0,-70,-70,-70,0,0.335,0,0.335,0.335,0.335,0,8.187,0,8.187,8.187,8.187,0,0.948,0,0.948,0.948,0.948,0,0,0,0,0,0,0,-21,0,-21,-21,-21,0,59.7805,52.3679,13.9858,50.2733,106.018,46.0267,17,0,17,17,17,0,19,0,19,19,19,0,-351,0,-351,-351,-351,0,0.21,0,0.21,0.21,0.21,0,1.626,0,1.626,1.626,1.626,0,0.923,0,0.923,0.923,0.923,0,0.899,0,0.899,0.899,0.899,0,-1,0,-1,-1,-1,0,16.6544,9.49778,5.99918,15.6565,29.5067,11.4612
session_008,candidate_07,100.787,24.331,75.7,97.3,134.95,32.55,499.74,1325.87,175.09,294.65,857.85,344.2,386.991,1323.13,72.44,188,733.48,332.5,0.0827251,0.0121655,0.150852,0,18.0972,676.017,979.068,30.7889,303.03,1658.71,803.247,647.047,33875.2,-25490.3,-21.5075,27301,16277.8,0.264401,0.49318,0,0.0732892,0.785398,0.321751,0.0910303,1008,373.538,745.86,885.8,1311.94,258.8,10.7199,6.02169,4.20007,9.63226,18.6525,10.3216,5.44,2.21052,2.8,5,8.6,3,286,146.355,133.4,250,483.8,200,876.2,322.517,406,902,1298.8,490,-3084.04,3219.49,-8268.6,-2756,106.2,2855,-81736.9,104435,-191215,-64842,6473.2,155318,947.41,110.239,789.93,982.75,1053.92,131.475,7.1,2.54755,3.9,7,10.2,2.5,479.4,113.554,385.7,492,546,104.75,1199.1,261.604,946.6,1100,1496.6,291.25,-1274.2,1073.93,-2737.7,-858.5,-302.8,1362,-34403.9,45796.8,-81343.5,-24198,3703.7,45893.2,1,51,0,51,51,51,0,73,0,73,73,73,0,-50,0,-50,-50,-50,0,0.348,0,0.348,0.348,0.348,0,13.207,0,13.207,13.207,13.207,0,0.956,0,0.956,0.956,0.956,0,0,0,0,0,0,0,-24,0,-24,-24,-24,0,50.6292,52.4528,12.6611,38.4192,86.762,39.3274,14,0,14,14,14,0,16,0,16,16,16,0,-283,0,-283,-283,-283,0,0.274,0,0.274,0.274,0.274,0,2.679,0,2.679,2.679,2.679,0,0.92,0,0.92,0.92,0.92,0,0.929,0,0.929,0.929,0.929,0,-1,0,-1,-1,-1,0,14.0235,8.22707,4.58306,13.5303,25.2154,11.4825
