session_id,subject_id,trial_index,pattern,time_ms,offset_x,offset_y,error_px
session_003,candidate_09,1,sinusoidal,0,335.433,41.7656,338.023
session_003,candidate_09,1,sinusoidal,33.27,334.577,41.7656,337.174
session_003,candidate_09,1,sinusoidal,49.97,334.096,42.8008,336.827
session_003,candidate_09,1,sinusoidal,66.57,332.642,42.8008,335.384
session_003,candidate_09,1,sinusoidal,83.27,330.768,42.8008,333.526
session_003,candidate_09,1,sinusoidal,99.97,328.485,42.8008,331.262
session_003,candidate_09,1,sinusoidal,116.57,325.812,42.8008,328.612
session_003,candidate_09,1,sinusoidal,133.27,322.721,42.8008,325.547
session_003,candidate_09,1,sinusoidal,149.97,319.231,42.8008,322.087
session_003,candidate_09,1,sinusoidal,166.57,315.369,42.8008,318.26
session_003,candidate_09,1,sinusoidal,183.27,311.095,42.8008,314.026
session_003,candidate_09,1,sinusoidal,199.97,306.435,42.8008,309.41
session_003,candidate_09,1,sinusoidal,216.57,301.427,42.8008,304.451
session_003,candidate_09,1,sinusoidal,233.27,296.016,42.8008,299.095
session_003,candidate_09,1,sinusoidal,249.97,290.239,42.8008,293.378
session_003,candidate_09,1,sinusoidal,283.27,277.651,42.8008,280.93
session_003,candidate_09,1,sinusoidal,299.87,270.86,42.8008,274.221
session_003,candidate_09,1,sinusoidal,316.67,263.65,42.8008,267.101
session_003,candidate_09,1,sinusoidal,333.27,251.875,42.8008,255.486
session_003,candidate_09,1,sinusoidal,349.87,231.443,42.8008,235.367
session_003,candidate_09,1,sinusoidal,366.57,204.909,42.1797,209.205
session_003,candidate_09,1,sinusoidal,383.27,181.901,39.2422,186.086
session_003,candidate_09,1,sinusoidal,399.87,154.9,35.4453,158.904
session_003,candidate_09,1,sinusoidal,416.57,129.526,32.4258,133.523
session_003,candidate_09,1,sinusoidal,433.27,105.8,29.543,109.847
session_003,candidate_09,1,sinusoidal,449.97,82.7785,27.2891,87.1606
session_003,candidate_09,1,sinusoidal,466.57,61.338,25.1484,66.2932
session_003,candidate_09,1,sinusoidal,499.77,27.2337,21.5781,34.7461
session_003,candidate_09,1,sinusoidal,516.67,12.4759,20.043,23.6087
session_003,candidate_09,1,sinusoidal,533.27,-1.27753,18.9609,19.0039
session_003,candidate_09,1,sinusoidal,549.87,-14.3044,17.6484,22.7175
session_003,candidate_09,1,sinusoidal,566.67,-27.2005,17.0195,32.0863
session_003,candidate_09,1,sinusoidal,583.27,-39.7565,16.1016,42.8933
session_003,candidate_09,1,sinusoidal,599.97,-52.1024,15.2891,54.2993
session_003,candidate_09,1,sinusoidal,616.57,-63.9297,15.0312,65.673
session_003,candidate_09,1,sinusoidal,633.27,-75.4194,15.0312,76.9027
session_003,candidate_09,1,sinusoidal,649.87,-86.9396,15.0312,88.2294
session_003,candidate_09,1,sinusoidal,665.97,-98.1941,15.0312,99.3379
session_003,candidate_09,1,sinusoidal,683.17,-110.061,15.0312,111.083
session_003,candidate_09,1,sinusoidal,699.97,-120.432,15.0312,121.367
session_003,candidate_09,1,sinusoidal,716.67,-130.772,15.0312,131.633
session_003,candidate_09,1,sinusoidal,733.27,-139.369,15.7383,140.255
session_003,candidate_09,1,sinusoidal,749.97,-146.443,16.5273,147.373
session_003,candidate_09,1,sinusoidal,766.67,-149.629,16.5273,150.539
session_003,candidate_09,1,sinusoidal,798.87,-142.85,16.5273,143.803
session_003,candidate_09,1,sinusoidal,816.67,-136.113,13.9492,136.826
session_003,candidate_09,1,sinusoidal,833.27,-127.242,11.2969,127.743
session_003,candidate_09,1,sinusoidal,866.67,-101.39,7.73828,101.685
session_003,candidate_09,1,sinusoidal,883.27,-87.6397,5.5625,87.816
session_003,candidate_09,1,sinusoidal,899.97,-81.1322,3.61328,81.2126
