session_id,subject_id,trial_index,pattern,duration_ms,mean_error_px,rms_error_px,lag_ms,prediction_ratio,tremor_px,correlation_x,correlation_y,error_first_half_px,error_second_half_px,fatigue_delta_px
session_003,candidate_09,1,sinusoidal,20000,55,71,-93,0.196,5.415,0.958,0,59,50,-9
session_003,candidate_09,2,random_walk,20000,17,20,-410,0.281,1.564,0.965,0.91,18,17,0
session_009,candidate_01,1,sinusoidal,20000,85,123,20,0.509,11.944,0.884,0,77,92,15
session_009,candidate_01,2,random_walk,20000,16,19,-309,0.268,1.739,0.958,0.888,16,17,0
session_002,candidate_08,1,sinusoidal,20000,71,113,-59,0.29,6.99,0.885,0,104,39,-65
session_002,candidate_08,2,random_walk,20000,15,18,-348,0.2,1.289,0.909,0.887,15,14,0
session_001,candidate_03,1,sinusoidal,20000,52,69,-67,0.319,11.043,0.96,0,59,45,-14
session_001,candidate_03,2,random_walk,20000,16,19,-217,0.266,3.128,0.958,0.957,17,15,-2
session_010,candidate_06,1,sinusoidal,20000,63,100,-17,0.422,20.083,0.923,0,92,34,-58
session_010,candidate_06,2,random_walk,20000,13,15,-301,0.253,1.697,0.955,0.98,14,12,-2
session_004,candidate_05,1,sinusoidal,20000,41,59,-17,0.412,4.925,0.973,0,50,31,-20
session_004,candidate_05,2,random_walk,20000,17,19,-367,0.247,1.554,0.938,0.94,18,15,-3
session_006,candidate_09,1,sinusoidal,20000,52,65,-100,0.17,4.484,0.965,0,58,46,-12
session_006,candidate_09,2,random_walk,20000,19,21,-338,0.17,1.345,0.986,0.988,18,19,1
session_005,candidate_04,1,sinusoidal,20000,105,146,0,0.489,9.676,0.807,0,105,104,-1
session_005,candidate_04,2,random_walk,20000,25,29,-534,0.354,1.445,0.895,0.83,25,26,1
session_007,candidate_02,1,sinusoidal,20000,60,79,-70,0.335,8.187,0.948,0,70,49,-21
session_007,candidate_02,2,random_walk,20000,17,19,-351,0.21,1.626,0.923,0.899,17,16,-1
session_008,candidate_07,1,sinusoidal,20000,51,73,-50,0.348,13.207,0.956,0,63,39,-24
session_008,candidate_07,2,random_walk,20000,14,16,-283,0.274,2.679,0.92,0.929,14,14,-1
