sample_id,session_id,subject_id,window_index,key_dwell_ms_mean,key_dwell_ms_std,key_dwell_ms_p10,key_dwell_ms_p50,key_dwell_ms_p90,key_dwell_ms_iqr,key_iki_ms_mean,key_iki_ms_std,key_iki_ms_p10,key_iki_ms_p50,key_iki_ms_p90,key_iki_ms_iqr,key_flight_ms_mean,key_flight_ms_std,key_flight_ms_p10,key_flight_ms_p50,key_flight_ms_p90,key_flight_ms_iqr,key_backspace_rate,key_shift_rate,key_space_rate,key_special_rate,typing_wpm,mouse_speed_mean,mouse_speed_std,mouse_speed_p10,mouse_speed_p50,mouse_speed_p90,mouse_speed_iqr,mouse_acceleration_mean,mouse_acceleration_std,mouse_acceleration_p10,mouse_acceleration_p50,mouse_acceleration_p90,mouse_acceleration_iqr,mouse_turn_mean,mouse_turn_std,mouse_turn_p10,mouse_turn_p50,mouse_turn_p90,mouse_turn_iqr,mouse_pause_ratio,dot_travel_time_ms_mean,dot_travel_time_ms_std,dot_travel_time_ms_p10,dot_travel_time_ms_p50,dot_travel_time_ms_p90,dot_travel_time_ms_iqr,dot_error_px_mean,dot_error_px_std,dot_error_px_p10,dot_error_px_p50,dot_error_px_p90,dot_error_px_iqr,dot_sub_movement_count_mean,dot_sub_movement_count_std,dot_sub_movement_count_p10,dot_sub_movement_count_p50,dot_sub_movement_count_p90,dot_sub_movement_count_iqr,dot_hover_dwell_ms_mean,dot_hover_dwell_ms_std,dot_hover_dwell_ms_p10,dot_hover_dwell_ms_p50,dot_hover_dwell_ms_p90,dot_hover_dwell_ms_iqr,dot_avg_velocity_mean,dot_avg_velocity_std,dot_avg_velocity_p10,dot_avg_velocity_p50,dot_avg_velocity_p90,dot_avg_velocity_iqr,dot_avg_acceleration_mean,dot_avg_acceleration_std,dot_avg_acceleration_p10,dot_avg_acceleration_p50,dot_avg_acceleration_p90,dot_avg_acceleration_iqr,dot_avg_jerk_mean,dot_avg_jerk_std,dot_avg_jerk_p10,dot_avg_jerk_p50,dot_avg_jerk_p90,dot_avg_jerk_iqr,drag_duration_ms_mean,drag_duration_ms_std,drag_duration_ms_p10,drag_duration_ms_p50,drag_duration_ms_p90,drag_duration_ms_iqr,drag_sub_movement_count_mean,drag_sub_movement_count_std,drag_sub_movement_count_p10,drag_sub_movement_count_p50,drag_sub_movement_count_p90,drag_sub_movement_count_iqr,drag_hover_dwell_ms_mean,drag_hover_dwell_ms_std,drag_hover_dwell_ms_p10,drag_hover_dwell_ms_p50,drag_hover_dwell_ms_p90,drag_hover_dwell_ms_iqr,drag_avg_velocity_mean,drag_avg_velocity_std,drag_avg_velocity_p10,drag_avg_velocity_p50,drag_avg_velocity_p90,drag_avg_velocity_iqr,drag_avg_acceleration_mean,drag_avg_acceleration_std,drag_avg_acceleration_p10,drag_avg_acceleration_p50,drag_avg_acceleration_p90,drag_avg_acceleration_iqr,drag_avg_jerk_mean,drag_avg_jerk_std,drag_avg_jerk_p10,drag_avg_jerk_p50,drag_avg_jerk_p90,drag_avg_jerk_iqr,drag_success_rate,track_sinusoidal_sample_error_px_mean,track_sinusoidal_sample_error_px_std,track_sinusoidal_sample_error_px_p10,track_sinusoidal_sample_error_px_p50,track_sinusoidal_sample_error_px_p90,track_sinusoidal_sample_error_px_iqr,track_random_walk_sample_error_px_mean,track_random_walk_sample_error_px_std,track_random_walk_sample_error_px_p10,track_random_walk_sample_error_px_p50,track_random_walk_sample_error_px_p90,track_random_walk_sample_error_px_iqr
session_003_window_1,session_003,candidate_09,1,107.183,27.6934,73.01,107.85,135.96,37.3,174.818,145.818,78.7,137.8,283.2,84.75,67.6607,149.831,-35.1,30,196.2,98,0.0235849,0,0.160377,0,56.2806,524.381,581.668,34.3043,395.303,1066.83,576.213,-104.541,15732.4,-10434.1,-178.53,11384.9,6758.9,0.134278,0.360081,0,0.0355361,0.251214,0.0865851,0.0751252,934.32,253.25,781.64,792.5,1212.2,85.5,6.38047,2.47612,4.0346,5.11715,9.46623,4.19752,5.8,1.72047,4.4,5,7.8,1,239.2,29.5797,205.2,250,269.8,37,688,176.069,505,630,899.6,265,-999.8,964.25,-2081.4,-944,-16.2,825,8367.8,67581.4,-65950.6,37538,56933,18861,690.9,74.3,631.46,690.9,750.34,74.3,4.5,1.5,3.3,4.5,5.7,1.5,225.5,41.5,192.3,225.5,258.7,41.5,1132,217,958.4,1132,1305.6,217,-1788.5,1202.5,-2750.5,-1788.5,-826.5,1202.5,43724,136810,-65724,43724,153172,136810,1,83.7709,80.5466,14.6539,57.8055,172.495,59.0025,19.4587,13.4364,8.8671,14.4775,49.5961,11.7632
session_003_window_2,session_003,candidate_09,2,104.267,29.6035,68.3,100.9,140.1,34.35,187.933,149.526,84.39,146.6,320.37,95.425,83.7233,151.902,-31.05,36.35,232.49,110.45,0.0331754,0,0.161137,0,51.6901,459.69,307.029,68.2541,456.964,826.839,429.588,85.6959,8324.57,-6640.27,-3.05398e-05,6653.56,5484.13,0.0795429,0.261569,0,0.0128422,0.110221,0.0530772,0.048414,905.24,122.921,755.34,959.1,1028.08,233.2,11.4632,3.21781,7.86154,11.9226,14.4969,2.14775,5.2,2.48193,3.4,4,8,1,376.4,135.839,219.6,400,519.8,149,674.6,329.769,418.2,593,1028.6,104,-339,1040.99,-1103.4,-965,909.2,899,16679.4,66963.4,-30200.4,-9510,88491,12240,750.7,15.4,738.38,750.7,763.02,15.4,3,1,2.2,3,3.8,1,281,2,279.4,281,282.6,2,1160.5,85.5,1092.1,1160.5,1228.9,85.5,-871.5,914.5,-1603.1,-871.5,-139.9,914.5,-56874.5,33735.5,-83862.9,-56874.5,-29886.1,33735.5,1,38.5525,18.9911,13.862,34.3365,63.2827,27.6846,15.5972,7.69717,6.73988,13.6772,27.533,10.174
session_003_window_3,session_003,candidate_09,3,110.16,31.642,73.98,107.65,149.81,37.4,258.079,1252.69,83.2,131.2,272.2,80.85,56.2411,130.836,-39.66,17.5,165.82,92,0.0471698,0,0.179245,0,35.9198,149.86,212.587,14.5022,68.1803,448.828,118.695,21.4683,4257.03,-2917.03,-34.4275,2754.21,2051.52,0.24142,0.475934,0,0.0583882,0.777543,0.245639,0.233723,878.68,240.922,678.46,775.2,1158.94,150,9.93543,2.85922,7.19014,8.60457,13.4792,4.32738,4.6,1.35647,3,5,6,3,429.8,261.022,189.8,383,733.4,282,372.2,106.413,258.8,343,498,208,-284.2,182.959,-485.6,-245,-112.8,86,-12609.4,32145.2,-41144.4,-20013,24456,27606,702.7,14.2,691.34,702.7,714.06,14.2,4.5,0.5,4.1,4.5,4.9,0.5,275,8,268.6,275,281.4,8,1070,83,1003.6,1070,1136.4,83,981.5,444.5,625.9,981.5,1337.1,444.5,-70690.5,64263.5,-122101,-70690.5,-19279.7,64263.5,1,42.4688,18.2067,20.6186,39.7148,68.0212,25.0671,14.4818,7.44816,4.67992,14.6345,24.274,11.8492
session_003_window_4,session_003,candidate_09,4,106.652,30.933,69.31,102.65,146.38,39.3,166.057,170.976,87.48,126.8,263.12,54.1,46.0208,107.502,-42.72,19.4,156.56,66.8,0.07109,0,0.194313,0,53.3379,256.465,542.352,14.2308,51.9216,723.458,134.252,124.999,13389.1,-3709.4,-7.91044,2567.39,1884.07,0.221501,0.42447,0,0.0477586,0.77788,0.244979,0.27212,882.34,145.655,703.2,941.6,1025.32,282.1,12.6845,4.08358,8.6412,10.6184,17.5986,6.32066,5.8,1.72047,3.8,6,7.6,2,293.2,126.354,189.4,266,434,85,597.4,170.354,442,512,808.8,227,-454.8,416.239,-911.2,-387,-94.8,217,-25583.2,47842,-83541,-1925,21895.8,77439,682.5,16,669.7,682.5,695.3,16,1.5,0.5,1.1,1.5,1.9,0.5,233.5,50.5,193.1,233.5,273.9,50.5,1114.5,22.5,1096.5,1114.5,1132.5,22.5,-323,1450,-1483,-323,837,1450,-33065,10777,-41686.6,-33065,-24443.4,10777,1,56.5388,24.3153,19.4376,61.8757,84.5845,40.8823,22.0787,12.358,7.26365,20.3405,39.9246,16.1699
session_003_window_5,session_003,candidate_09,5,110.419,31.5804,73.6,107.2,152.47,38.15,187.569,222.279,84,132.9,266.7,78.6,59.5524,167.561,-41.83,20.75,155.08,77.25,0.0471698,0,0.188679,0,48.5129,1066.76,1140.43,74.6986,542.875,2867.9,1474.2,-156.728,29056.1,-24705,-1161.88,27068.5,11194.4,0.128836,0.410317,0,0.035529,0.181873,0.0809002,0.0517529,938.98,108.742,824.96,975.8,1013.08,16.7,11.2747,4.46774,5.79004,12.9113,15.7657,7.6562,7.2,1.32665,5.8,7,8.6,1,343,103.763,249.4,283,473.2,183,622.2,86.0683,543.6,566,729,150,-58.2,197.636,-278.4,-89,159.6,288,-655.6,53187.9,-53306.4,-23091,63491.2,66409,683.85,32.35,657.97,683.85,709.73,32.35,3.5,0.5,3.1,3.5,3.9,0.5,315,34,287.8,315,342.2,34,1134,84,1066.8,1134,1201.2,84,-803,807,-1448.6,-803,-157.4,807,-60783.5,485.5,-61171.9,-60783.5,-60395.1,485.5,1,52.3145,35.6971,12.8758,46.8171,118.226,47.1565,15.2283,7.08224,5.52103,15.4011,25.0938,9.28166
session_009_window_1,session_009,candidate_01,1,75.4751,17.5788,53.48,75.8,96.76,21.5,216.896,190.83,87.54,166.4,414.36,107.8,131.892,144.787,8.56,95.85,342.31,112.875,0.0632184,0,0.16092,0,43.1735,544.066,658.172,17.1428,350.751,1383.16,576.962,270.318,18893.7,-13927.2,-150.67,15227.3,7827.97,0.151685,0.37532,0,0.0376851,0.286528,0.111818,0.116861,1547.06,1028.24,972.06,1091.8,2597.24,99.8,10.922,5.79936,3.75588,13.4476,16.6184,9.66457,5.4,1.74356,3.4,6,7.2,2,362.8,116.995,222.8,416,463,101,634.2,262.433,349.4,601,914,249,-3016.6,3497.89,-6970,-1199,-669.4,1797,48554.2,137281,-64554.8,-50595,222071,216074,1524.4,74.7,1464.64,1524.4,1584.16,74.7,9.5,1.5,8.3,9.5,10.7,1.5,934,1,933.2,934,934.8,1,597.5,2.5,595.5,597.5,599.5,2.5,-324,456,-688.8,-324,40.8,456,-32792,21891,-50304.8,-32792,-15279.2,21891,1,120.967,95.6753,40.8835,72.2743,298.957,145.788,18.7298,12.7284,5.79089,13.1548,41.0368,15.8139
session_009_window_2,session_009,candidate_01,2,79.5659,19.1632,59.02,78.5,99.48,21.8,254.295,250.183,100.94,182.1,461.88,136.2,162.582,196.076,23.54,104.5,384.27,132.65,0.0517241,0,0.143678,0.00574713,37.9151,598.258,638.711,35.7291,469.442,1132.03,506.08,291.637,18811.6,-13140.4,-197.722,14638.1,10213.1,0.102919,0.314155,0,0.0207246,0.140364,0.0694211,0.0868114,888.5,87.8691,778.46,941.6,968.68,150.8,14.184,3.11024,10.3128,15.6956,17.1508,5.29503,3,1.09545,1.8,3,4,1,289.8,44.4315,236,301,333,67,612.8,174.889,434,544,823,257,-1185.8,1359.9,-2440.8,-1536,378.4,991,-161956,81884.3,-263710,-114177,-89044.4,102703,1293.3,122.8,1195.06,1293.3,1391.54,122.8,4,1,3.2,4,4.8,1,779.5,46.5,742.3,779.5,816.7,46.5,816.5,16.5,803.3,816.5,829.7,16.5,-410.5,352.5,-692.5,-410.5,-128.5,352.5,-25305.5,8722.5,-32283.5,-25305.5,-18327.5,8722.5,1,44.1241,31.2669,13.4396,37.6755,80.543,35.4437,13.1107,6.83876,5.22087,12.1364,22.1405,8.85722
session_009_window_3,session_009,candidate_01,3,78.4592,19.6706,58.93,75.8,99.74,21.025,245.134,799.268,90.98,148.7,326.66,95.8,166.562,799.099,9.06,77.2,256.34,102.2,0.0689655,0,0.172414,0,37.3513,119.297,179.649,14.3543,62.2757,251.999,98.6494,9.88774,3573.92,-2391.16,-48.9472,2166.28,1669.55,0.246754,0.446208,0,0.0881497,0.770064,0.290494,0.262104,1035.2,355.59,772.1,891.8,1431.86,150,17.4332,4.39669,12.513,18.5171,20.9971,2.91916,4.4,3.07246,1.4,3,8.2,5,410.2,277.141,217,283,723.8,166,835.4,131.101,705.4,780,992.6,283,-1322.8,1008.91,-2528.8,-1085,-285.6,1321,-64915,57161.9,-124117,-84877,1499.2,70983,1307.95,8.45,1301.19,1307.95,1314.71,8.45,4,0,4,4,4,0,862.5,146.5,745.3,862.5,979.7,146.5,736,57,690.4,736,781.6,57,96,113,5.6,96,186.4,113,-59970.5,45751.5,-96571.7,-59970.5,-23369.3,45751.5,1,51.4066,25.6607,16.9781,52.4852,87.3888,26.7917,13.8377,7.65481,4.99137,12.099,26.3837,7.3496
session_009_window_4,session_009,candidate_01,4,77.5762,18.5081,57.15,76.5,99.59,20.675,199.974,206.101,77.86,140.3,389.76,97.2,106.189,146.871,-24.3,72.1,285,96.2,0.0517241,0,0.178161,0,46.48,507.55,1080.43,15.242,128.3,1471.19,317.743,98.235,24695.1,-7912.94,-229.63,6436.91,3218.13,0.181089,0.344681,0,0.0504718,0.486501,0.186976,0.188648,1185.42,347.677,868.94,1058.8,1585.3,216.5,9.47394,3.48569,5.77631,9.72415,12.9,1.51716,4.2,1.72047,2.2,5,5.6,1,360.2,70.4312,276.8,367,433.6,116,557.8,214.202,291.2,698,750.6,400,-476.8,1275.53,-2060.8,178,644.6,1701,-117801,10242.5,-128281,-120990,-105686,12002,1475.1,75.4,1414.78,1475.1,1535.42,75.4,6,1,5.2,6,6.8,1,1000,33,973.6,1000,1026.4,33,770,34,742.8,770,797.2,34,-256,271,-472.8,-256,-39.2,271,-36035,8310,-42683,-36035,-29387,8310,1,125.023,141.98,14.1156,80.0916,358.418,124.367,16.6408,8.17981,6.59691,15.8368,26.3317,9.34232
session_009_window_5,session_009,candidate_01,5,78.3699,21.6036,56.82,74.8,103.36,21.7,206.586,146.577,90.2,150.3,412.62,110.6,128.216,147.872,-2.98,82.7,334.9,97.5,0.195402,0,0.155172,0,37.2698,915.368,1460.03,15.4599,241.593,3174.99,964.095,459.615,44274.2,-19805.6,-541.463,20197.6,7269.27,0.154627,0.358894,0,0.0569864,0.299067,0.114329,0.140234,1055.2,97.3376,948.54,1042.4,1165,115.9,14.2122,3.824,9.74923,14.9349,17.7312,4.20114,4.2,1.32665,2.8,4,5.6,1,326.6,101.553,229.4,318,433.2,34,555.8,124.154,423.2,563,682,68,-388.6,358.143,-773.4,-442,33.4,733,-84886.2,35305.9,-125861,-78656,-50406.6,33814,1199.75,66.75,1146.35,1199.75,1253.15,66.75,4,0,4,4,4,0,708,59,660.8,708,755.2,59,769,61,720.2,769,817.8,61,1300.5,969.5,524.9,1300.5,2076.1,969.5,-52158,8767,-59171.6,-52158,-45144.4,8767,1,81.4474,53.6578,19.2417,74.6409,161.954,84.1842,19.8057,9.13109,6.92284,20.9435,31.0677,13.0609
